timestamp,username,role,display_name,ip_address
2026-05-15 19:46:08,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 19:49:57,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 19:51:47,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 19:52:12,adviser1,Faculty Adviser,Dr. Jane Smith,unknown
2026-05-15 20:54:28,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:01:35,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:05:03,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:26:06,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:30:43,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:34:40,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:37:03,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:42:08,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:44:25,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 21:55:47,S001,Student,"Santos, Maria Concepcion R",unknown
2026-05-15 22:12:19,adviser1,Faculty Adviser,Dr. Jane Smith,unknown
2026-05-15 22:14:17,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 22:26:37,S001,Student,"Santos, Maria Concepcion R",unknown
2026-05-15 22:43:39,S001,Student,"Santos, Maria Concepcion R",unknown
2026-05-15 22:48:07,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 22:49:40,staff1,SESAM Staff,SESAM Administrator,unknown
2026-05-15 22:51:38,S008,Student,"Demo, Juan A",unknown
2026-05-15 22:57:22,adviser1,Faculty Adviser,Dr. Jane Smith,unknown
2026-05-15 23:12:49,adviser1,Faculty Adviser,Dr. Jane Smith,unknown
2026-05-15 23:13:34,adviser1,Faculty Adviser,Dr. Jane Smith,unknown
2026-05-15 23:17:23,S001,Student,"Santos, Maria Concepcion R",unknown
2026-05-15 23:18:02,S002,Student,"Dela Cruz, Jose Mari P",unknown
